"CHSI_State_Name","CHSI_State_Abbr","CHSI_County_Name","Injury","Cancer","Population","Homicide","Suicide","HIV","Heart Disease","Max_Type","Max_Value","id"
"Illinois","IL","Union",1.38500466521853,2.20958063221777,18202,0,0,0,2.31759120060575,"Heart Disease",2.31759120060575,"17181"
"Illinois","IL","Vermilion",1.4144420155958,1.37498869710284,82344,0,0,0,0.934040285106369,"Cancer",1.37498869710284,"17183"
"Illinois","IL","Wabash",1.87932151895982,2.88338437751141,12570,0,0,0,2.49921979047238,"Cancer",2.88338437751141,"17185"
"Illinois","IL","Warren",0,2.98257703078314,17558,0,2.21953230347968,0,2.94068960897848,"Cancer",2.98257703078314,"17187"
"Illinois","IL","Washington",3.34056037286674,2.67783130497314,14922,0,0,0,2.69957034927397,"Heart Disease",2.69957034927397,"17189"
"Illinois","IL","Wayne",0.704008651846297,2.63120492906152,16796,0,2.24756802189099,0,2.57060361734536,"Cancer",2.63120492906152,"17191"
"Illinois","IL","White",3.02989470931988,2.49868295812088,15284,0,2.21651554157498,0,2.68114167978706,"Heart Disease",2.68114167978706,"17193"
"Illinois","IL","Whiteside",1.41753014561465,1.41867369335927,59863,0,0,0,1.14881071827771,"Cancer",1.41867369335927,"17195"
"Illinois","IL","Will",0,0,642813,0,0,0,0,"None",0,"17197"
"Illinois","IL","Williamson",1.68548682182059,1.81494163509749,63617,0,0.822175472289857,0,1.23604188109984,"Cancer",1.81494163509749,"17199"
"Illinois","IL","Winnebago",0,0,288695,1.97976091877586,0,0,0,"Homicide",1.97976091877586,"17201"
"Illinois","IL","Woodford",0,1.48638933424856,37448,0,0,0,1.17224696897416,"Cancer",1.48638933424856,"17203"
"Indiana","IN","Adams",0,1.75756249643911,33849,0,0,0,1.43412485952563,"Cancer",1.75756249643911,"18001"
"Indiana","IN","Allen",0,0,344006,2.51524138219842,0,0,0,"Homicide",2.51524138219842,"18003"
"Indiana","IN","Bartholomew",2.33602917853076,1.08208556304737,73540,0,1.31805233247613,0,0,"Suicide",1.31805233247613,"18005"
"Indiana","IN","Benton",1.76058059698548,3.05112562704571,9039,0,2.52955655990551,0,2.76499324836155,"Cancer",3.05112562704571,"18007"
"Indiana","IN","Blackford",0.366276451538876,2.89778442074723,13849,0,0,0,2.63085323970211,"Cancer",2.89778442074723,"18009"
"Indiana","IN","Boone",1.53162103726587,1.37540254148034,52061,0,0.925953903701972,0,0,"Cancer",1.37540254148034,"18011"
"Indiana","IN","Brown",1.02737380736257,2.81744646838648,15154,0,2.31149956961558,0,2.21361586387983,"Cancer",2.81744646838648,"18013"
"Indiana","IN","Carroll",3.23875397834353,1.89361181976264,20426,0,2.42696260737408,0,2.07876911540576,"Suicide",2.42696260737408,"18015"
"Indiana","IN","Cass",1.83392153382939,1.44539253258412,40130,0,1.50355267996748,0,0.988749249381846,"Suicide",1.50355267996748,"18017"
"Indiana","IN","Clark",0,0.907790701187583,101592,0,0,1.6832550650156,0.7863570253227,"HIV",1.6832550650156,"18019"
"Indiana","IN","Clay",0,2.12919901781814,27142,0,0,0,1.62052784479124,"Cancer",2.12919901781814,"18021"
"Indiana","IN","Clinton",0,1.26186877654296,34091,0,1.84694700422975,0,1.37892174254978,"Suicide",1.84694700422975,"18023"
"Indiana","IN","Crawford",1.72884192487498,2.76011589194751,11216,0,2.7142660233893,0,2.67220314837631,"Cancer",2.76011589194751,"18025"
"Indiana","IN","Daviess",1.06687503827234,1.08396646046415,30466,0,1.93182380440915,0,1.54581600042349,"Suicide",1.93182380440915,"18027"
"Indiana","IN","Dearborn",2.35611686445507,1.04239456773218,49082,0,1.53658734734803,0,0,"Suicide",1.53658734734803,"18029"
"Indiana","IN","Decatur",2.73815072094297,2.47633295523217,25184,0,0,0,1.79802494714961,"Cancer",2.47633295523217,"18031"
"Indiana","IN","De Kalb",2.23855750133769,1.58959172974098,41659,0,1.19407560515599,0,0.39457061991637,"Cancer",1.58959172974098,"18033"
"Indiana","IN","Delaware",0,0,116362,0,0,0,0,"None",0,"18035"
"Indiana","IN","Dubois",1.65422532782148,1.29488621963608,40858,0,1.79243267529618,0,1.36872468659904,"Suicide",1.79243267529618,"18037"
"Indiana","IN","Elkhart",0,0,195362,1.0865574441738,0,0,0,"Homicide",1.0865574441738,"18039"
